,Title,Book Rating,imdbRating
1097,Jurassic Park,7.94,8.1
1098,The Godfather,7.44,9.2
1099,A Clockwork Orange,7.96,8.3
1100,Memoirs of a Geisha,8.16,7.4
1101,The Godfather,8.16,9.2
1102,The Godfather,8.72,9.2
1103,Choke,7.5,6.5
1104,The Metamorphosis,7.5,3.9
1105,Timeline,7.94,5.6
1106,Jurassic Park,7.66,8.1
1107,Jurassic Park,7.94,8.1
1108,Jurassic Park,7.74,8.1
1109,The Man in the High Castle,7.94,8.1
1110,The Godfather,8.86,9.2
1111,The Godfather,8.72,9.2
1112,Trainspotting,7.66,8.2
1113,Trainspotting,8.16,8.2
1114,Le nom de la rose,8.08,8.0
1115,The Name of the Rose,8.22,7.8
1116,Running with Scissors,8.08,6.2
1117,Running with Scissors,7.4,6.2
1118,The Silence of the Lambs,7.4,8.6
1119,Lord of the Flies,8.74,6.4
1120,Lord of the Flies,7.3,6.4
1121,The Alchemist,7.3,3.8
